CourseId,CourseSection,CourseName,Location,StartDate,EndDate,Start_Time,End_Time,DurationMinutes,Class_Days,Description
LIT2025,A,ST: New England Writers,ADMIN 209,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,TuF,LIT2025A: ST: New England Writers
LIT2026,A,ST: Exploring Gender in Lit,ADMIN 023,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,MTh,LIT2026A: ST: Exploring Gender in Lit
LIT3014,A,African-American Literature,ADMIN 209,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,MTh,LIT3014A: African-American Literature
MAT0291,A,Essential College Mathematics,STONE 014,8/29/2022,12/16/2022,8:30:00 AM,9:30:00 AM,60,MWF,MAT0291A: Essential College Mathematics
MAT0392,A,Pre-Algebra,STONE 014,8/29/2022,12/16/2022,1:00:00 PM,2:00:00 PM,60,MWF,MAT0392A: Pre-Algebra
MAT1311,A,Mathematical Ideas,ADMIN 207,8/29/2022,12/16/2022,8:30:00 AM,10:00:00 AM,90,MTh,MAT1311A: Mathematical Ideas
MAT1541,A,Intermediate Algebra,STONE 014,8/29/2022,12/16/2022,10:30:00 AM,11:30:00 AM,60,MWF,MAT1541A: Intermediate Algebra
MAT1641,A,College Algebra,ADMIN 206,8/29/2022,12/16/2022,8:30:00 AM,10:00:00 AM,90,TuF,MAT1641A: College Algebra
MAT2621,A,Applied Statistics,STEM 111,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,TuF,MAT2621A: Applied Statistics
MAT2741,A,Linear Algebra,STEM 113,8/29/2022,12/16/2022,8:30:00 AM,10:30:00 AM,120,MTh,MAT2741A: Linear Algebra
MGT2011,A,Principles of Management,LEWIS 203,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,TuF,MGT2011A: Principles of Management
MUS1031,A,Basic Piano,FAB 206,8/29/2022,12/16/2022,2:45:00 PM,3:45:00 PM,60,MWF,MUS1031A: Basic Piano
MUS1041,A,ST: Music Appreciation,FAB 301,8/29/2022,12/16/2022,10:30:00 AM,11:30:00 AM,60,MWF,MUS1041A: ST: Music Appreciation
MUS1151,A,Chorus Level I,FAB 143,8/29/2022,12/16/2022,4:30:00 PM,5:30:00 PM,60,Thursday,MUS1151A: Chorus Level I
MUS1152,A,Chorus Level II,FAB 143,8/29/2022,12/16/2022,4:30:00 PM,5:30:00 PM,60,Thursday,MUS1152A: Chorus Level II
MUS1153,A,Chorus Level III,FAB 143,8/29/2022,12/16/2022,4:30:00 PM,5:30:00 PM,60,Thursday,MUS1153A: Chorus Level III
MUS1161,A,Jazz Ensemble Level I,FAB 143,8/29/2022,12/16/2022,4:30:00 PM,5:30:00 PM,60,Monday,MUS1161A: Jazz Ensemble Level I
MUS1162,A,Jazz Ensemble Level II,FAB 143,8/29/2022,12/16/2022,4:30:00 PM,5:30:00 PM,60,Monday,MUS1162A: Jazz Ensemble Level II
MUS1163,A,Jazz Ensemble Level III,FAB 143,8/29/2022,12/16/2022,4:30:00 PM,5:30:00 PM,60,Monday,MUS1163A: Jazz Ensemble Level III
PHE1131,A,Vinyasa Yoga,FAB DANCE,10/14/2022,12/12/2022,4:30:00 PM,5:30:00 PM,60,MTh,PHE1131A: Vinyasa Yoga
PHE1153,A,Ballroom Dancing,FAB DANCE,8/29/2022,12/16/2022,4:30:00 PM,5:30:00 PM,60,Wednesday,PHE1153A: Ballroom Dancing
PHE1175,A,Fundamentals of Sports & Exercise,CLKCEN ,8/29/2022,10/14/2022,4:30:00 PM,5:30:00 PM,60,MTh,PHE1175A: Fundamentals of Sports & Exercise
PHE1175,B,Fundamentals of Sports & Exercise,CLKCEN ,10/17/2022,12/16/2022,6:30:00 PM,7:30:00 PM,60,MW,PHE1175B: Fundamentals of Sports & Exercise
PHE1181,A,Walking for Health,LEWIS 108,8/29/2022,10/14/2022,4:30:00 PM,5:30:00 PM,60,MTh,PHE1181A: Walking for Health
PHE1281,A,Plyometrics/Conditioning,CLKCEN ,8/29/2022,12/16/2022,10:30:00 AM,11:30:00 AM,60,MTh,PHE1281A: Plyometrics/Conditioning
PHO2021,A,Digital Photography I,FAB 412,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,MTh,PHO2021A: Digital Photography I
PHO3021,A,Digital Photography II,FAB 412,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,MTh,PHO3021A: Digital Photography II
PNT2011,A,Painting I,FAB 411,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,TuF,PNT2011A: Painting I
PNT3021,A,Painting the Figure and Portrait,FAB 411,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,TuF,PNT3021A: Painting the Figure and Portrait
POL3021,A,Understanding Global lnequality,LEWIS 006,8/29/2022,12/16/2022,2:45:00 PM,3:45:00 PM,60,MWF,POL3021A: Understanding Global lnequality
PSY1011,A,Introduction to Psychology,STEM 104,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,MTh,PSY1011A: Introduction to Psychology
PSY1011,B,Introduction to Psychology,ADMIN 209,8/29/2022,12/16/2022,4:30:00 PM,5:30:00 PM,60,MWF,PSY1011B: Introduction to Psychology
PSY1011,C,Introduction to Psychology,ADMIN 016,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,TuF,PSY1011C: Introduction to Psychology
PSY1011,D,Introduction to Psychology,ADMIN 016,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,TuF,PSY1011D: Introduction to Psychology
PSY2011,A,ST: Psychology Research I,ADMIN 206,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,MTh,PSY2011A: ST: Psychology Research I
